ID	Out101	Out102	Out103	On101	On102	On103	In101	In102	In103
OTU_444	2.0	4.0	9.0	4.0	3.0	6.0	4.0	2.0	1.0
OTU_144	34.0	27.0	38.0	50.0	58.0	38.0	25.0	33.0	68.0
OTU_194	0.0	0.0	0.0	1.0	1.0	0.0	11.0	12.0	21.0
OTU_60	107.0	27.0	133.0	109.0	97.0	68.0	24.0	56.0	69.0
OTU_284	11.0	6.0	29.0	11.0	18.0	15.0	7.0	13.0	13.0
OTU_28	277.0	75.0	366.0	242.0	245.0	119.0	90.0	97.0	130.0
OTU_55	40.0	27.0	44.0	40.0	42.0	54.0	43.0	51.0	66.0
OTU_17	67.0	39.0	76.0	83.0	88.0	90.0	87.0	80.0	100.0
OTU_9	229.0	59.0	296.0	188.0	211.0	106.0	47.0	65.0	117.0
OTU_20	98.0	60.0	99.0	67.0	59.0	47.0	57.0	80.0	95.0
OTU_56	80.0	26.0	130.0	58.0	62.0	39.0	33.0	39.0	38.0
OTU_2	703.0	538.0	813.0	404.0	495.0	399.0	314.0	552.0	676.0
OTU_1	963.0	700.0	1278.0	599.0	678.0	552.0	492.0	830.0	970.0
OTU_18	87.0	51.0	118.0	78.0	91.0	83.0	62.0	92.0	107.0
OTU_34	52.0	46.0	43.0	39.0	38.0	33.0	29.0	42.0	58.0
OTU_26	75.0	48.0	112.0	72.0	87.0	65.0	46.0	76.0	90.0
OTU_535	4.0	5.0	4.0	2.0	3.0	6.0	3.0	3.0	9.0
OTU_31	104.0	69.0	89.0	57.0	74.0	69.0	64.0	104.0	115.0
OTU_13	14.0	16.0	21.0	242.0	321.0	198.0	94.0	167.0	259.0
OTU_51	107.0	67.0	141.0	117.0	193.0	159.0	83.0	107.0	176.0
OTU_5	639.0	135.0	749.0	503.0	539.0	237.0	104.0	131.0	262.0
OTU_130	1.0	1.0	1.0	31.0	21.0	12.0	3.0	7.0	10.0
OTU_116	52.0	75.0	80.0	61.0	79.0	58.0	54.0	94.0	131.0
OTU_25	67.0	69.0	84.0	94.0	108.0	89.0	62.0	144.0	159.0
OTU_1273	16.0	16.0	24.0	9.0	17.0	16.0	16.0	17.0	24.0
OTU_3	431.0	317.0	489.0	254.0	324.0	245.0	204.0	349.0	428.0
OTU_50	50.0	41.0	64.0	57.0	58.0	58.0	43.0	40.0	76.0
OTU_440	5.0	1.0	9.0	11.0	10.0	7.0	3.0	4.0	5.0
OTU_416	9.0	5.0	19.0	10.0	12.0	9.0	4.0	8.0	11.0
OTU_94	34.0	33.0	36.0	25.0	48.0	34.0	24.0	43.0	41.0
OTU_211	11.0	19.0	14.0	16.0	13.0	13.0	13.0	21.0	21.0
